商品名稱,品牌名稱,累積金額,商品單價,商品網址,商品規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束,新品入榜
【逸盛LED超廣域觸控護眼檯燈】視放無限、多角度、滿足你所有對💡燈 💡的需求 ！,逸盛科技 逸享生活 綠淨未來🌳,3000860,2880,https://www.zeczec.com/projects/esensepro,"逸盛 LED超廣域觸控護眼檯燈｜開啟生活光明燈💡80cm地表最長，解決了目前市售不合格檯燈的所有痛點，用最輕鬆的方式享受最好的燈與光🌟。,zeczec",30 天,2023/01/05 20:00 – 2023/02/15 02:00,2023-01-05 20:00:00,2023-02-15 02:00:00,
一鍵全自動充氣－Jodo！啵啵椅，隨身專屬沙發，讓世界美景都變成你家客廳,Jodo！,2245460,4280,https://www.zeczec.com/projects/jodo-pop-chair,"21 世紀可以把沙發帶出家門了！突破市面充氣用具的設計思維，一鍵按下立刻自動充氣，你的「個人專屬沙發」就此誕生～圓弧椅身打造雲朵包覆坐感，不管是草地、海邊、露營都像在家一樣舒適。,zeczec",6 天,2022/12/21 12:00 – 2023/01/21 23:59,2022-12-21 12:00:00,2023-01-21 23:59:00,
【最後 2 天】德國百靈 PowerBlend 9 調理機｜頂級轉速 x 口感自訂 x 自動清潔,Braun Household,2123200,13800,https://www.zeczec.com/projects/powerblend9,"百年德國品牌百靈以創新科技，打造 42000 轉高速馬達，搭配獨家多動向技術與 18 種料理模式，各式醬料、健身減脂飲品，還是肉漿料理，都能輕鬆上桌！,zeczec",3 天,2022/12/22 12:00 – 2023/01/18 23:59,2022-12-22 12:00:00,2023-01-18 23:59:00,
[100% 原創] P-Flash 智慧並聯式，金屬閃光彈行動電源,LMC & Co.銅雀股份有限公司,1544670,2380,https://www.zeczec.com/projects/p-flash,"1:1 閃光彈造型，拉掉安全插銷後保險桿立即彈開並點亮手電筒。 無限擴充式行動電源。讓您不論身處何種戰場，都能有源源不絕的電力與中二力！,zeczec", 37 小時,2022/12/22 21:00 – 2023/01/17 23:59,2022-12-22 21:00:00,2023-01-17 23:59:00,
呼哩金好睏【科技雙面床墊】讓高科技幫你夜夜好眠,純粹。眠,1362310,19800,https://www.zeczec.com/projects/jinhaokun,"拜拜了輾轉難眠、起床時的疲累►有效降溫、排放靜電強化體內環保、不干擾獨立筒設計◀︎你尋尋覓覓的床墊就在這！,zeczec",17 天,2022/12/20 21:00 – 2023/02/02 23:59,2022-12-20 21:00:00,2023-02-02 23:59:00,
最能裝的行李箱！【SWISS STYLE｜30吋胖胖箱之王】二代戰艦箱 出國旅遊這咖就夠！,SWISS STYLE,1234240,4860,https://www.zeczec.com/projects/swissstyle-trunk,"最耐摔！各種角度都好拉！同級最輕量，還兼具大容量，完美制霸各種場合的萬用行李箱！,zeczec",15 天,2022/12/27 12:00 – 2023/01/31 02:00,2022-12-27 12:00:00,2023-01-31 02:00:00,
【TCL A3 Smart 】	UV-C紫外線殺菌空氣清淨機｜ 同階功能制霸、價格制霸,TCL海悅智慧生活網,1138540,5880,https://www.zeczec.com/projects/tcla3,"UV-C冠狀病毒剋星x可淨化小至PM0.3顆粒物x甲醛去除率99% x 零臭氧x SGS認證x美國實驗認證,zeczec",20 天,2023/01/05 21:00 – 2023/02/05 23:59,2023-01-05 21:00:00,2023-02-05 23:59:00,
【營養正義】8合1頂級瑪卡精胺酸鋅 | 只賺您100圓左右的合理利潤 | 全成分世界頂尖大廠品牌原料,BIO O BioMed 百圓生醫科技,1020599,3447,https://www.zeczec.com/projects/bio-o-maca-sport-plus,"你受夠了市面上有效成分不足貴又無感的增強體力產品嗎?新的一年就是要滿滿元氣與強大體力!8大頂級爆量營養素，一盒30包給您30日滿載補給，體驗最有感的增強體力!除了一支抵8支之外，還幫您省荷包!,zeczec",15 天,2022/12/23 12:00 – 2023/01/31 02:00,2022-12-23 12:00:00,2023-01-31 02:00:00,
KUHN RIKON 經典白防水購物拖輪車｜購物採買、出國血拼、露營野餐，一袋輕鬆搞定！,瑞康國際,983013,4999,https://www.zeczec.com/projects/KR-waterproofshopper,"瑞康屋全新力作！與瑞士百年品牌共同設計，超乎想像的大容量，裝滿50kg一樣滑順好推！潔白車身擁有超強防潑水，髒污下雨都不怕！不使用時還可摺疊收納，就要讓你「便利 優雅 品味生活袋著走！」,zeczec",14 天,2022/12/21 12:00 – 2023/01/30 12:00,2022-12-21 12:00:00,2023-01-30 12:00:00,
海外熱銷千萬！【Hurdle 多功能鵝型衣褲架】把衣物收納變簡單🪄,CollaboSpace Taiwan,885380,950,https://www.zeczec.com/projects/hurdle,"同時具備簡約外型及使用便利性，多樣貼心設計讓你能夠更簡單、快速地整理衣褲，把你的衣櫃空間變大變整齊～,zeczec",19 天,2022/12/20 20:00 – 2023/02/04 02:00,2022-12-20 20:00:00,2023-02-04 02:00:00,
台灣道奇兔【Vtuber 兔姬】3D化 & 虛實互動軟體V-AR開發募資【虛擬Youtuber】,惡兔重工,842800,300,https://www.zeczec.com/projects/UsagiHime3D,"打造Vtuber兔姬的3D化 ! 開發虛實互動軟體V-AR，我們會在2023年開拓動漫祭FF40 進行突破虛擬次元體驗首發!!,zeczec",17 天,2023/01/03 12:00 – 2023/02/01 23:59,2023-01-03 12:00:00,2023-02-01 23:59:00,
SWANZ 魔法瓶｜首創防摔淨瓷保溫瓶,Swanz 天鵝瓷,828790,1440,https://www.zeczec.com/projects/swanzMbottle,"首創防摔淨瓷保溫瓶，內裏使用與新加坡科研局A*STAR一同研發的專利淨瓷層，耐用、易潔又輕盈，更不用擔心輕輕摔就有破裂的疑慮，750ml容量搭配高防漏杯蓋設計，讓您如何攜帶都超安心！,zeczec",3 天,2022/12/22 21:30 – 2023/01/19 03:00,2022-12-22 21:30:00,2023-01-19 03:00:00,
【Kangjipsa 韓國巨大貓砂盆 |守護主子膀胱健康 】以貓咪需求為本 台灣獨家代理,毛星大使有限公司,816330,1590,https://www.zeczec.com/projects/kangjipsa,"身為專業的管家，請選擇夠大又抗菌的砂盆，守護主子泌尿道健康,zeczec",39 天,2023/01/04 20:00 – 2023/02/24 02:00,2023-01-04 20:00:00,2023-02-24 02:00:00,
PICABOO 布咔寶學習餐具 | 兩段式直覺握把 | 寶貝自主用餐不卡卡,CYD TERRA 項晴實業有限公司,783680,1180,https://www.zeczec.com/projects/picaboo,"獨創兩段式握把設計，讓寶貝從初學自主用餐，到銜接筷子使用，讓每階段的挑戰都像是場輕鬆愉快的遊戲。,zeczec",16 天,2022/12/27 12:00 – 2023/01/31 23:59,2022-12-27 12:00:00,2023-01-31 23:59:00,
FOLIO 2.0植鞣短夾｜日本TIDY同源品牌，改版全新升級，16層大容量收納王者，靠卡感應設計！,TIDY ,713150,2150,https://www.zeczec.com/projects/folio-20,"日本皮夾募資銷售冠軍—TIDY同源品牌，短夾收納術王者，日本長期熱銷款「FOLIO植鞣短夾」2.0全新改版升級，16層大容量收納空間、快速靠卡感應、RFID防盜刷設計,zeczec",19 天,2022/12/21 10:30 – 2023/02/03 23:59,2022-12-21 10:30:00,2023-02-03 23:59:00,
RanuaZoo 翻轉食物包 兼顧環保與時尚,ranuazoo翻轉食物包,646440,620,https://www.zeczec.com/projects/RanuaZoo,"RanuaZoo翻轉食物包，結合食物袋及摺疊便當盒，擁有食物袋的大容量摺疊便當盒好收納，史上最好清洗無死角的矽膠食物包!無過多零件不易損壞永續使用，輕鬆享受無痕生活！,zeczec",29 天,2022/12/26 21:00 – 2023/02/13 23:59,2022-12-26 21:00:00,2023-02-13 23:59:00,
HOYA 石墨烯遠紅外線腳底按摩墊｜石墨烯添加，遠紅外線促進循環，最懶的保健方法，用「踩」的就可以！,和亞健康生活家,565371,4980,https://www.zeczec.com/projects/hoya-mat,"HOYA 石墨烯遠紅外線腳底按摩墊，以高科技「石墨烯」材料打造，能發出人體所需要的遠紅外線，非接觸式的刺激方式，喚醒腳底重要穴道及反射區，享受腳底按摩的樂趣，改善身體循環超有感。,zeczec",16 天,2022/12/22 11:00 – 2023/01/31 23:59,2022-12-22 11:00:00,2023-01-31 23:59:00,
130cm直徑的反摺傘!可以3人共撐的超級大傘!AMAYADORI,AMAYADORI,512631,869,https://www.zeczec.com/projects/otowa_AMAYADORI,"單手完成開傘與收傘 抵擋強風的10根傘骨 防水材質製成，快速甩開雨水 附有LED燈，夜晚使用也安心!,zeczec",13 天,2022/12/28 12:00 – 2023/01/28 23:59,2022-12-28 12:00:00,2023-01-28 23:59:00,
