ECLIPSE 隨行濾茶壺｜整組茶具，一手掌握！,初芳宇,907540,3590,https://www.zeczec.com//projects/eclipse-travel-press,"內建量杯 × 陶瓷純飲 × 真空保溫 × 茶葉舒展 × 淬取控制 × 超好清洗！ 專業又時尚的整組茶具，一手就能掌握！,zeczec",59 天,2022/05/20 12:00 – 2022/07/20 23:59,2022/05/20 12:00:00,2022/07/20 23:59:00
【OIVIO FIT ｜都市防水鞋】簡約百搭新姿態，梅雨季救星 🌟 給你真防水,Oivio Fit,138640,2480,https://www.zeczec.com//projects/oivio-fit,"集 時尚、防滑、防水、透氣、環保 於一身，以簡約的概念設計靈活百搭的款式，什麼樣的場合和活動都合適！OIVIO FIT 為您提供最適合台灣梅雨氣候、行走時最舒適自在的感受。,zeczec",32 天,2022/05/17 12:00 – 2022/06/24 02:00,2022/05/17 12:00:00,2022/06/24 02:00:00
ZHAO KA 廚餘機：一鍵讓廚餘變綠肥，三公升大容量，和惱人味道與果蠅說再見！,罩咖科技,5079600,7980,https://www.zeczec.com//projects/zhao-ka,"生活新革命，濕黏又長蟲的廚餘已經成為過去，地表最強廚餘機問世，讓你三個月倒一次廚餘，一邊做環保的同時享受種植樂趣！,zeczec",25 天,2022/05/16 21:00 – 2022/06/16 23:59,2022/05/16 21:00:00,2022/06/16 23:59:00
SANSUI極勁正負離子高速吹風機｜日本最美．極輕設計，速乾與柔順最強結合！挑戰市面最好吹的全方位吹風機,Jyiteh,837560,3980,https://www.zeczec.com//projects/sansuidryer,"【極勁正負離子高速吹風機】旗艦吹速6大提升，台灣全新登場！「航空級 DC 無刷馬達動力 + 2000萬正負離子除靜電降噪」 第一款以虎口量身設計最佳握感，只要 3 分鐘，輕盈吹出最集中的柔順風感。,zeczec",26 天,2022/05/16 20:00 – 2022/06/17 23:59,2022/05/16 20:00:00,2022/06/17 23:59:00
peripower 香氛小栽 | 讓香氛成為你的專屬植栽,COMART,5268,305,https://www.zeczec.com//projects/peripower,"最自由愜意的香氛花片,zeczec",40 天,2022/05/16 20:00 – 2022/07/01 23:59,2022/05/16 20:00:00,2022/07/01 23:59:00
【動誌金牌學院－線上講座】運動員就是你的神隊友 和你用正能量攻略生活,動誌,88979,500,https://www.zeczec.com//projects/sportz-gold-medal-academy,"【動誌金牌學院－線上講座】邀請九位台灣頂尖運動員，透過18-20分鐘線上講座的方式，與你分享賽場上的大小事、過程中的歡笑與淚水，以運動員正向、樂觀的態度，和你一起面對生活中的課題，成為你的神隊友。,zeczec",39 天,2022/05/16 19:00 – 2022/06/30 23:59,2022/05/16 19:00:00,2022/06/30 23:59:00
［政雄不二-機能型冰淇淋］全國首創MIT。嘴破喉嚨痛，吃不了又嚥不下。來一杯立即為你的營養補充開外掛。,政雄不二,1600,1600,https://www.zeczec.com//projects/funtional-ice-cream,"/產前及術後之營養補充/流質食物或無法正常進食時/嘴破、喉嚨痛不敢進食或沒有食慾時/一般兒童 青少年 成人老年之營養補充。是最適合國人一般居家旅遊常備 最大心的好夥伴。,zeczec",33 天,2022/05/16 00:00 – 2022/06/24 23:59,2022/05/16 00:00:00,2022/06/24 23:59:00
【哈味鮮】鮮食凍乾主食餐-天然、嗜口、健康、有愛,哈中寶科技創生事業,2040,590,https://www.zeczec.com//projects/hammy,"超越罐頭的存在！將原肉塊脫水後，鎖住食物鮮美並保留營養，每餐可添加60~80g水分，超越罐頭水量，原型天然最健康！,zeczec",39 天,2022/05/15 21:00 – 2022/06/30 23:59,2022/05/15 21:00:00,2022/06/30 23:59:00
Plus+滴魚湯(珍珠龍膽石斑精粹)限量搶鮮開賣　全台首波！,有鮽鮮物,0,13500,https://www.zeczec.com//projects/bonanzafreshplus,"從海洋到餐桌，結合科技做出的珍珠龍膽石斑精粹，全魚慢火熬煮萃取，因為在乎您的營養，Plus+滴魚湯想給您更多plus+營養。,zeczec",54 天,2022/05/14 09:00 – 2022/07/15 23:59,2022/05/14 09:00:00,2022/07/15 23:59:00
樂屋裡우리 ｜歐爸正韓魚板年糕 X 台韓混血泡菜｜不用出國也能品嚐最道地韓國味！,樂屋裡우리,7400,400,https://www.zeczec.com//projects/TheWoori-korea,"歐爸為愛飄洋過海成了台灣女婿，初次品嚐台灣農產品就決定要與韓式結合，堅持正統韓式風味，年糕、魚板等食材，甚至所有調味原料都來自韓國原裝進口！！,zeczec",40 天,2022/05/13 12:00 – 2022/07/01 23:59,2022/05/13 12:00:00,2022/07/01 23:59:00
Zorloo Zophia 有線.無線兩用耳機｜方便、HiRes + MQA 一次擁有,鴻絡國際有限公司,33020,4500,https://www.zeczec.com//projects/zorloo-zophia,"選擇「有線高清音質」或「無線方便自在」相信是許多發燒友的困擾，世界首款支援 HiRes 和 MQA 的耳機並配備無線功能誕生。有線.無線｜由你.決定。,zeczec",24 天,2022/05/13 11:00 – 2022/06/15 23:59,2022/05/13 11:00:00,2022/06/15 23:59:00
MagFlött 磁吸立架 | 一秒讓你的 iPad 「飄」起來，你的 iPad 就是 iMac！,Magflott Taiwan,558865,2890,https://www.zeczec.com//projects/magflott,"專為 iPad Pro & iPad Air 而生的簡約支架，全金屬切割、360° 旋轉與 180° 翻轉，讓手中的 iPad 更能成為全方位生產工具，與肩頸痠痛說 bye bye！,zeczec",34 天,2022/05/12 11:15 – 2022/06/25 23:59,2022/05/12 11:15:00,2022/06/25 23:59:00
UND 能量咖啡｜全台第一無糖低卡高蛋白，蘊含能量的咖啡界超跑,澄蔚創新有限公司,6300,589,https://www.zeczec.com//projects/undcoffee,"還在喝高糖高脂的罐裝咖啡？想健身美體同時又想享受咖啡的美味？全台首創無糖低卡富含蛋白質與MCT的能量咖啡，飲用後快速轉成能量，提神醒腦又兼具維持體態！,zeczec",51 天,2022/05/12 00:00 – 2022/07/12 23:59,2022/05/12 00:00:00,2022/07/12 23:59:00
繫上輕盈 零著感 無金屬帶頭 顛覆您對皮帶的想像,EDJO皮革製作所,2648,1260,https://www.zeczec.com//projects/EDJO-leather,"原創專利設計 - 無金屬扣皮帶 五金帶頭的笨重 讓我們為您解鎖 ﻿羽量級的舒適 我們與您共同成就,zeczec",39 天,2022/05/11 11:00 – 2022/06/30 23:59,2022/05/11 11:00:00,2022/06/30 23:59:00
【超早鳥最後倒數】xTool M1 三合ㄧ雷雕機 | 雷雕、雷切 & 刀割的夢幻聯手,Makeblock,23930746,30980,https://www.zeczec.com//projects/xtool-m1,"動手玩創作，但雷雕機要1台、切割機又要買1台… 當個 Maker，難道只能【抱歉了錢錢】嗎 TAT？小朋友才選擇，試試全都要的 xTool M1 吧！,zeczec",16 天,2022/05/10 20:00 – 2022/06/08 02:00,2022/05/10 20:00:00,2022/06/08 02:00:00
YOX升級版第二代水牙線丨史上最mini丨沖牙器丨清潔牙縫丨按摩牙齦丨清新口氣丨預防蛀牙,火星創造,90920,3360,https://www.zeczec.com//projects/yox,"去除食物殘渣、牙齦護理、高效潔牙，YOX升級版第二代水牙線丨沖牙器一機搞定!,zeczec",27 天,2022/05/10 20:00 – 2022/06/19 02:00,2022/05/10 20:00:00,2022/06/19 02:00:00
綠禾SunnyGrasses(天然蜂蠟牙線紙盒)原取自天然ㄟ蜂蠟牙線，清新天天好心情!,Dannii Lo,1277,289,https://www.zeczec.com//projects/sunnygrasses,"綠禾SunnyGrasses/提供紙盒裝牙線捲替換取代傳統牙線塑膠盒,可重複裝填減少丟棄,zeczec",29 天,2022/05/10 20:00 – 2022/06/20 23:59,2022/05/10 20:00:00,2022/06/20 23:59:00
【 Photontree PRO｜制霸 965 吋大畫面的 3D 頭戴顯示器 】打破空間侷限，享受精采絕倫的 3D 大電影、沉浸式遊戲！,Photontree,6712402,12900,https://www.zeczec.com//projects/PT-PRO,"日本 IPS 顯示面板 (雙2K)、支援 3D 電影、sRGB 125% 超廣色域、ESS SABRE HiFi 雙核音效，可連接手機、PS4/5、Switch、電腦等多裝置以 965 吋虛擬沉...,zeczec",19 天,2022/05/10 12:00 – 2022/06/10 23:59,2022/05/10 12:00:00,2022/06/10 23:59:00
全面掌握行車安全，首創可提醒前方測速照相！CROXERA® M 智慧後照鏡,CROXERA,2254693,3980,https://www.zeczec.com//projects/croxera-m,"結合分離式運算技術與全新開發智慧聯網裝置，打造跨品牌、不分油電車款可使用的智慧後照鏡－跨世代機車安全服務,zeczec",30 天,2022/05/10 12:00 – 2022/06/21 23:59,2022/05/10 12:00:00,2022/06/21 23:59:00
GOTRAL木顆粒野營爐 | 露營輕鬆又環保，給您戶外廚房全新體驗！,GOTRAL,718090,3900,https://www.zeczec.com//projects/GOTRAL,"顛覆野炊標準的新型態，戶外料理裝備不是只有瓦斯爐！GOTRAL 木顆粒野營爐來了！生火方便，快速駕馭，100%天然再生燃料，輕鬆搭配各種鍋具，煎煮燉烤樣樣搞定！讓您開心又安心！,zeczec",29 天,2022/05/10 11:00 – 2022/06/20 23:59,2022/05/10 11:00:00,2022/06/20 23:59:00
CHIMEI 3D 聲控循環扇｜智慧語音操控／120 度立體空間對流／23 公尺集中風力／讓空間四季都舒適宜人,新視代科技股份有限公司,1442080,3680,https://www.zeczec.com//projects/chimeifan,"CHIMEI 3D 聲控循環扇，透過全新設計的風學系統，一機就能創造全室對流。內建的語音辨識功能，讓您免動手也能簡單操控！,zeczec",17 天,2022/05/09 12:00 – 2022/06/08 23:59,2022/05/09 12:00:00,2022/06/08 23:59:00
地表最強！PHILIPS行動KTV｜你與歌神的距離，就在這支麥克風！,DoubleLife,943560,3590,https://www.zeczec.com//projects/PHILIPS_KTV,"地表最強行動KTV，顛覆你的想像！海量歌單、演唱會Hi-Fi等級晶片、一鍵消音、快充歡唱...現在就丟掉你家塵封已久的K歌神器吧！,zeczec",23 天,2022/05/09 12:00 – 2022/06/14 23:59,2022/05/09 12:00:00,2022/06/14 23:59:00
蟲宇宙 — 專業昆蟲迷系列T恤,bugverse01,10080,3360,https://www.zeczec.com//projects/bugverse01,"由設計師原創的昆蟲圖案，專業昆蟲迷就能辨識的各種迷人的物種和特性，非飽和色系重磅精梳棉T恤。,zeczec",34 天,2022/05/06 20:00 – 2022/06/25 23:59,2022/05/06 20:00:00,2022/06/25 23:59:00
wesmile 為您呈上最高品質的『 PARIS LUXURY 巴黎奢華系列 美顏超音波AI智能電動牙刷洗臉機 』，一機在手，滿足您口腔與臉部清潔所有需求。,躍杰股份有限公司,103880,3290,https://www.zeczec.com//projects/wesmile-paris-luxury,"wesmile 刷牙 洗臉 一機搞定！最高品質的電動牙刷洗臉機！,zeczec",29 天,2022/05/06 00:00 – 2022/06/20 23:59,2022/05/06 00:00:00,2022/06/20 23:59:00
鐵人運動員哲睿推薦的聲波極限衝鋒襪｜360°環狀防護✕太空氣墊吸震✕極乾爽技術 最耐衝耐操的運動助攻！,藍盾騎士 Lendan Knight,191825,1000,https://www.zeczec.com//projects/ldknight123,"駕馭所有運動的聲波極限衝鋒襪，五項登峰制霸功能，最強抗震舒緩、乾爽舒適、耐磨耐操等職業級感受，讓您運動時衝鋒前線，足下安心無『味』！,zeczec",35 天,2022/05/05 20:00 – 2022/06/26 23:59,2022/05/05 20:00:00,2022/06/26 23:59:00
神奇橡木桶 ▏讓您變身品酒界的魔法師,以諾國際貿易有限公司,0,100000,https://www.zeczec.com//projects/Magic-Oak-Barrel,"不同凡嚮的時光之旅、你給它2分鍾、它給你30年,zeczec",44 天,2022/05/05 18:00 – 2022/07/05 23:59,2022/05/05 18:00:00,2022/07/05 23:59:00
韓國 HYUNDAI 捲捲地板｜輕輕一滾，DIY居家改造超easy！吸震隔音、軟底設計，寵物嬰兒都安心！,韓國 Hyundai 現代科技家居,1119580,2280,https://www.zeczec.com//projects/hyundai-rolling-floor,"韓國 HYUNDAI 最新「捲捲地板」，不僅擁有舒適腳感，更能吸震隔音，九大功能輕鬆幫您解決家裡傳統地板的問題，最重要的是：自己鋪5坪地板只要1小時，租屋族也能輕鬆上手！,zeczec",27 天,2022/05/05 12:00 – 2022/06/19 02:00,2022/05/05 12:00:00,2022/06/19 02:00:00
【雲米】方糖洗碗機 - 「我不想洗碗！」入手人生第一台免安裝洗碗機,雲米 VIOMI,8888231,8290,https://www.zeczec.com//projects/sugar,"萬元內、免安裝、超省水！比手洗省 10 倍水量，16 道強力水柱＋UVC 99.99% 強力殺菌，一鍵按下，讓曾經的洗碗惡夢，變得簡單俐落。,zeczec",15 天,2022/05/05 12:00 – 2022/06/07 02:00,2022/05/05 12:00:00,2022/06/07 02:00:00
＊元氣小資雞湯組＊防疫自己來，用料理拿回健康主導權＊將客人視為家人的料理職人,雞鳴而起crowing,21092,1349,https://www.zeczec.com//projects/fang-yi-zi-ji-lai,"『我堅持現點現料理，就跟堅持食材親挑細選一樣！』 我是雞鳴而起的掌勺人，嚴選上等食材與黑羽土雞，厚工細熬慢燉，絕不減料速成。與疫情共處的現在，更希望以香濃繞喉的美味，用食療代替醫療，防疫自己來。,zeczec",9 天,2022/05/05 12:00 – 2022/05/31 23:59,2022/05/05 12:00:00,2022/05/31 23:59:00
【Radiance | 用專業的技術，打造出高CP值的燈具】，Luna一手掌握、亮彩聚焦，提供給您燈光饗宴,Radiance,0,7200,https://www.zeczec.com//projects/radiance-cp-luna,"【Radiance | 用專業的技術，打造出高CP值的燈具】，Luna一手掌握、亮彩聚焦，提供給您燈光饗宴,zeczec",24 天,2022/05/05 12:00 – 2022/06/15 23:59,2022/05/05 12:00:00,2022/06/15 23:59:00
【SWEETER精緻甜點禮盒】青春有點甜｜畢業季，送給他們的一「點心」意！,甜點人 Sweeter!,5055,520,https://www.zeczec.com//projects/sweeter,"在這個離別的季節，對陪你度過青春、最重要的他們傳達感謝及祝福！,zeczec",10 天,2022/05/05 00:00 – 2022/06/01 23:59,2022/05/05 00:00:00,2022/06/01 23:59:00
 The Marglobel 麥哲倫地球儀｜一起重回大航海時代 創造屬於您的冒險故事,質木模型,924775,1950,https://www.zeczec.com//projects/marglobel,"麥哲倫地球儀，以麥哲倫航行全球為設計概念，USB馬達電動自轉，3D展示海洋分布和陸地結構，不只是有趣的桌上擺飾，也是精緻的科學教材，707個零件，絕對能讓您感受DIY組裝的樂趣。,zeczec",30 天,2022/05/04 21:00 – 2022/06/22 02:00,2022/05/04 21:00:00,2022/06/22 02:00:00
世新大學廣電系｜第28屆畢業製作｜Potato馬鈴薯小弟 「我不願離開」 專輯募資計畫！,Potato馬鈴薯小弟,12690,440,https://www.zeczec.com//projects/Potato,"哈囉大家好～我是來自世新大學廣電系大四的Potato馬鈴薯小弟 即將在5月中發行實體專輯 希望大家可以多多支持 讓我們的專輯可以大紅大紫～🙏🏼,zeczec",12 天,2022/05/04 20:00 – 2022/06/03 23:59,2022/05/04 20:00:00,2022/06/03 23:59:00
一鍵啟動，幫你90天自動真空保鮮，日本智慧真空器專家「Cielob 」 ,Neo Choice ,185010,1480,https://www.zeczec.com//projects/cielob,"「更新鮮」「更方便」「更健康」 Cielob 採用最新自動真空技術，最高45kpa真空度! “抗氧+防腐+智慧收納” 保持食材長久新鮮，讓烹飪料理變得更美味更有趣。,zeczec",39 天,2022/05/03 21:00 – 2022/07/01 11:00,2022/05/03 21:00:00,2022/07/01 11:00:00
【arlink 55度C恆溫無線吹風機PHD1000｜激活秀髮】好好對待你的頭髮，瞬間年輕10歲,arlink生活美學專家,10780,5390,https://www.zeczec.com//projects/arlink-10-45ff1072-06ed-4733-a900-72e812a80349,"arlink秉持著享受生活美學，從裡到外，都為消費者把關著，只為給客人最便利舒適的生活,zeczec",9 天,2022/05/03 20:00 – 2022/05/31 23:59,2022/05/03 20:00:00,2022/05/31 23:59:00
韓國Paseco窗型冷氣｜節能、環保、簡易DIY安裝拆卸，抵制炎夏，有感降溫,普珹有限公司,99950,19990,https://www.zeczec.com//projects/paseco-tw,"韓國Paseco窗型冷氣開發、設計、生產均 100% 韓國製造產品，主打節能、環保、好安裝、好拆卸，低噪音、不占空間，適合非永久居住區(如租屋者)來使用。,zeczec",29 天,2022/05/03 12:00 – 2022/06/21 02:00,2022/05/03 12:00:00,2022/06/21 02:00:00
超級食物纖萃飲 | 新纖美學 • 原生源起 | 高效萃取技術 #TIAC4 TECH™ 完整保留羽衣甘藍營養,原生源起,175131,1650,https://www.zeczec.com//projects/YUANSEN_YUANCHI,"你的送禮最佳選擇。每一口都是頂級纖維，真實蔬菜打造的質感生活！ 獨創非水溶性膳食纖維保健飲品，由專業醫學團隊研發，用最天然的食物，給你最純淨的美味。,zeczec",39 天,2022/05/01 12:00 – 2022/06/30 23:59,2022/05/01 12:00:00,2022/06/30 23:59:00
一起支持遲緩兒媽媽 ► 贊助一本童書！讓偏鄉遲緩兒能從小開始，透過閱讀進行治療,一起夢想,160548,100,https://www.zeczec.com//projects/rortaiwan-510,"這個母親節：贊助募集 300 本童書，送入 300 個弱勢家庭，陪超過 300 個孩子一起說故事。透過閱讀，能提早發現遲緩兒徵兆，讓他們有機會追上其他孩子的腳步！,zeczec",9 天,2022/05/01 00:00 – 2022/05/31 23:59,2022/05/01 00:00:00,2022/05/31 23:59:00
AIR智能口罩風扇空氣清淨機 解放呼吸革命 空氣對流效應 徹底解決口罩悶濕臭 淨化空氣 預防空污、粉塵、動物毛屑吸入 暢快呼吸 擺脫炎炎夏日 不再脫妝 涼感親膚3D立體口罩支架 增加涼感新鮮空氣 提升活力,Huapeng Era Taiwan,43601,1690,https://www.zeczec.com//projects/air-mask-fan,"44克輕量輕巧，和口罩融為一體，攜帶方便，時尚百搭，上班運動無負擔，有效防止細菌、霧霾吸入體內，外出安全放心，適用任何款式的口罩，二氧化碳隨獨特散熱風道迅速排出， 防止口罩內累積過多廢氣，對眼鏡...,zeczec",12 天,2022/04/28 12:00 – 2022/06/04 02:00,2022/04/28 12:00:00,2022/06/04 02:00:00
倒數4天！「煎出世界上最好吃的牛排，就跟呼吸一樣簡單！」Omoi frying pan無塗層鑄鐵煎鍋台灣初登場！,KK select,2214211,3890,https://www.zeczec.com//projects/omoi-frying-pan,"保留鑄鐵熱傳導優良特性．獨家煎面加厚設計．無塗層可用一輩子。只要有這把神鍋，就能省下上高級牛排餐館的費用，在家也能享用又香又嫩的美味牛排！,zeczec",5 天,2022/04/28 12:00 – 2022/05/28 02:00,2022/04/28 12:00:00,2022/05/28 02:00:00
『蒔茪草本』青檸精油貼布｜與在地小農的邂垢,蒔茪草本,470,470,https://www.zeczec.com//projects/lime-oil-patch,"草本植物的生命力，能夠溫和且沉穩地對身心發揮效益，如今，我們發現草本植物擁有更多的可能性，尤其是對輕齡保養有所助益的自然能量！,zeczec",5 天,2022/04/27 21:00 – 2022/05/27 23:59,2022/04/27 21:00:00,2022/05/27 23:59:00
【 InBirdie TEMPO｜智慧型高爾夫推桿練習器 】搭載 AI 技術，精準測量三大數值！在家也能精進推桿技巧，加強推桿訓練品質！,DMBH Taiwan,1892277,8500,https://www.zeczec.com//projects/inbirdie-tempo,"韓國專利技術新產品，透過 AI 感測器偵測推桿節奏、距離、角度 3 項數據；深入練習推桿技巧，提升推桿準確度，讓你在球場上展現完美一擊！,zeczec",16 天,2022/04/26 20:00 – 2022/06/08 02:00,2022/04/26 20:00:00,2022/06/08 02:00:00
amadana 極簡卡式爐 | 俐落外型 x 小巧便攜，好好生活先從好好吃飯開始,amadana Taiwan,806594,4990,https://www.zeczec.com//projects/amadana,"100% 日本設計製造，僅 1.5 Kg 告別傳統笨重憨厚卡式爐形象，全鋁鑄機身搭配十字型鍋架，從咖啡到輕食通通沒問題！,zeczec",25 天,2022/04/26 20:00 – 2022/06/16 23:59,2022/04/26 20:00:00,2022/06/16 23:59:00
【 Royal 鼻毛刀套組】承襲韓國六十年傳統工藝，絕對安全、俐落剪斷不扯毛，輕輕轉一轉，整個人煥然一新！,Backer Choice 貝殼選物,1480332,1055,https://www.zeczec.com//projects/royal-metal,"左邊轉轉、右邊轉轉，5 秒無痛清理鼻毛超簡單！一套擁有精品質感的不銹鋼鼻毛刀套組，絕對安全、無須充電且可拆卸水洗， 7.2cm 輕巧帶著走，上班、約會前快速轉一轉，在重要時刻不凸槌，俐落又帥氣！,zeczec",18 天,2022/04/26 12:00 – 2022/06/09 23:59,2022/04/26 12:00:00,2022/06/09 23:59:00
新革命、新生活！新一代DIKE濾淨瞬熱式飲水機｜通用所有市售濾芯、3L大容量,DoubleLife,985170,3090,https://www.zeczec.com//projects/DIKE_HCE100,"再也不用被品牌綁架了！想喝什麼口感，就依需求隨心選擇濾芯！內托零滲漏設計，360無死角過濾淨化；6段水溫、4段水量，你家中的神助手！,zeczec",4 天,2022/04/26 12:00 – 2022/05/26 23:59,2022/04/26 12:00:00,2022/05/26 23:59:00
地表最強露營燈【日本 ROOT CO. HEX-SoLa ver.2 戶外露營燈】｜獨創六角形設計，360度無死角的極致機能,攜帶電話,1934061,3190,https://www.zeczec.com//projects/root-co-hex-sola-ver2,"來自日本箱根，Outdoor職人品牌｜日本 ROOT CO. ，最親近大自然的設計理念，首次登上嘖嘖，挑戰地表最強露營燈，360度無死角的極致機能！,zeczec",9 天,2022/04/26 11:00 – 2022/05/31 23:59,2022/04/26 11:00:00,2022/05/31 23:59:00
 【Cleer CRESCENT 🌙 新月高級智慧無線藍牙音響】8項國際大獎！限量快速到貨 🔥 支援Hi-res高保真音質、3種聆聽模式、Google語音助理，旗艦級的智能家居，磅礡登場！,Cleer,295200,32800,https://www.zeczec.com//projects/Cleer-CRESCENT,"擁有8顆中高音、2顆重低音喇叭的Cleer新月智慧藍芽音響，讓您在家就能擁有影院級別的聽覺饗宴！,zeczec",19 天,2022/04/26 10:30 – 2022/06/10 23:59,2022/04/26 10:30:00,2022/06/10 23:59:00
【Artemis迷你雲端隨身碟】 自動備份所有資料到雲端空間, Amaryllo Inc. 愛瑪麗歐股份有限公司,61367,1990,https://www.zeczec.com//projects/amaryllo-artemis,"Artemis迷你雲端隨身碟是一個專利申請中的創新的產品，在協助解決資料遺失和被竊取問題的同時，搭配愛瑪麗歐雲增加資料的儲存空間，幫助您保護並珍藏所有重要的資料。,zeczec", 15 小時,2022/04/25 20:00 – 2022/05/23 23:59,2022/04/25 20:00:00,2022/05/23 23:59:00
去去毒菌走！ O₃ Kobin 地表最小臭氧水生成儀 | 革命性的魔法武器,Liv-Light,466642,2380,https://www.zeczec.com//projects/O3Kobin,"Liv-Light 生活更輕鬆、自在 ｜O₃ Kobin 為台灣第一支隨身攜帶的臭氧水生成儀 | 劃時代的新生活提案｜只要加水，隨時隨地的安心體驗。,zeczec",,2022/04/22 12:00 – 2022/05/23 02:00,2022/04/22 12:00:00,2022/05/23 02:00:00
