【IDMIX / P140 / 140W GaN 氮化鎵快速充電器】爆猛 140W 充電王者降臨！同級最高功率、支援 PD3.1、2C1A 強效輸出！,Chic Flott 奇舫優選,128465,1980,https://www.zeczec.com/projects/idmix-p140-140w-gan-140w-2c1a,"同級最高規格 140W 輸出功率，可支援 MacBook Pro 全速充電 & 眾多品牌之筆記型電腦、平板電腦、智慧型手機進行充電，日用、差旅、辦公、出遊，就這麼一顆，搞定你的充電事！,zeczec",58 天,2022/04/15 12:00 – 2022/06/14 23:59,2022/04/15 12:00:00,2022/06/14 23:59:00
TIFG日本製焚火台 | 耐重鋼板不變形，收納厚度不到1公分，營火野炊職人逸品 · TakiBeIta焚火台,Single Step,981160,4480,https://www.zeczec.com/projects/tifg-takibeita,"營火活動最值得擁有的職人焚火台，日本香川縣TIFG鐵匠鍛造，厚實鋼板耐重不變型，組裝快速收納不到1cm！露營燒烤質感大升級，世界最美柴燒爐。含五德爐烤架、離地集灰盤,zeczec",29 天,2022/04/12 12:00 – 2022/05/16 23:59,2022/04/12 12:00:00,2022/05/16 23:59:00
日本國寶級工藝輪島塗職人手工打造｜輪島漆萬用料理鏟｜田谷漆器店,KK select,672131,1750,https://www.zeczec.com/projects/wajimanuri2,"擁有 200 年以上歷史的田谷漆器店，改良國寶級工藝輪島塗職人工具所製成的第二代萬用料理鏟，雙重抗菌保護，再也不擔心木鏟發霉！,zeczec",25 天,2022/04/12 12:00 – 2022/05/12 23:59,2022/04/12 12:00:00,2022/05/12 23:59:00
石頭掃拖機器人 S7 MaxV Ultra ｜五項全自動．六合一清潔座搭載業界最強5100PA吸力，掃地機界真王者！,Roborock Taiwan,89475432,39888,https://www.zeczec.com/projects/roborock-s7-maxv-ultra,"全球最大的掃地機器人製造商Roborock石頭科技， 推出全新頂級旗艦機種 —S7 MaxV Ultra ▶︎ 重金打造旗艦高規格機款，再次顛覆你對掃地機的想像！做到讓您真正解放雙手！,zeczec",22 天,2022/04/12 10:00 – 2022/05/09 23:59,2022/04/12 10:00:00,2022/05/09 23:59:00
Adorable 可撕水性純素指甲油 | 不傷指甲×不傷動物×不傷地球 |  2022春夏新款搶先韓國曝光,aigoo 愛購,10814,658,https://www.zeczec.com/projects/adorable,"韓國第一款環保純素的美甲產品並獲得英國素食協會Vegan的認證，無毒、無臭、純素，與護膚產品的安全等級相同，親子一起玩美的居家指甲油！,zeczec",24 天,2022/04/11 20:30 – 2022/05/11 23:59,2022/04/11 20:30:00,2022/05/11 23:59:00
【與夢綻放－後站記憶的邂逅】實境解謎遊戲,後站．逅綻,7103,100,https://www.zeczec.com/projects/rearblossom,"一款台北後站批發商圈的實境解謎遊戲，在遊戲體驗的同時，探索在地店家與了解商圈的獨特魅力！,zeczec",33 天,2022/04/11 20:00 – 2022/05/20 23:59,2022/04/11 20:00:00,2022/05/20 23:59:00
 [ 植直大 ti̍t-ti̍t-tuā｜身高量表 ] 全新概念紀錄成長的獨一無二,A plant studio｜那間觀葉植物店,36250,650,https://www.zeczec.com/projects/tiit-tiit-tua,"用新方式記錄孩子的成長，以植物圖鑑海報的形式融入居家公共空間，讓大家看見並好好保存。,zeczec",56 天,2022/04/11 20:00 – 2022/06/12 23:59,2022/04/11 20:00:00,2022/06/12 23:59:00
嶺東視傳系畢業製作｜【頭島花生會社】台灣絕不能缺少這一味,頭島花生會社,11070,200,https://www.zeczec.com/projects/ling-dong-shi-chuan-xi-bi-ye-zhi-zuo-tou-dao-hua-sheng-hui-she-tai-wan-jue-bu-neng-que-shao-zhe-wei,"頭島花生會社是一個專研台灣花生的組織，在花生產業逐漸沒落的時代，我們透過花生與台灣飲食文化的連結，本土37種品種調研及花生殼的循環利用實驗，希望讓更多人認識台灣花生，並了解它對台灣的重要性。,zeczec",23 天,2022/04/08 20:00 – 2022/05/10 23:59,2022/04/08 20:00:00,2022/05/10 23:59:00
【DIVCHATA POWER｜Help Ukraine NOW 烏克蘭女力在台灣】,DIVCHATA POWER,714493,224,https://www.zeczec.com/projects/divchatapower,"7名在台灣的烏克蘭女孩，透過此專案將台灣的支持「直接」傳達給不曾被國際媒體報導的烏克蘭女性英雄！,zeczec",20 天,2022/04/08 18:00 – 2022/05/07 23:59,2022/04/08 18:00:00,2022/05/07 23:59:00
小椿日和市集 ｜ 與創作面對面，療癒的體驗式市集。,小椿日和市集,3600,500,https://www.zeczec.com/projects/tsubaki-chun,"想接觸手作或文創，課程選擇無須煩惱，用逛市集的心情，隨興選擇令自己感到療癒的體驗。,zeczec",44 天,2022/04/08 15:00 – 2022/06/01 12:00,2022/04/08 15:00:00,2022/06/01 12:00:00
0號玩家｜用一個新身份，打開無限可能性。,臺北表演藝術中心,260900,750,https://www.zeczec.com/projects/tpac-beta,"你認同觀看事物的角度不只一種、解答也不會像教科書只有一個正解，你支持這樣的開放性，喜歡不同的刺激，那你來對地方了。,zeczec",13 天,2022/04/08 12:00 – 2022/05/01 12:00,2022/04/08 12:00:00,2022/05/01 12:00:00
【日本島產業SHIMA SANGYO｜廚餘除臭乾燥機】溫風烘乾廚餘、活性碳設計有效除臭，美型無刀片好清洗!,Suntrail,394300,9990,https://www.zeczec.com/projects/shima-sangyo,"日本廚餘機領導品牌｜溫風烘乾乾燥廚餘、活性碳除臭、運轉超靜音、免安裝插電即可用，無刀片更好洗的廚餘機。美型小巧榮獲多項國際設計大賞。 ,zeczec",28 天,2022/04/08 09:00 – 2022/05/15 23:59,2022/04/08 09:00:00,2022/05/15 23:59:00
春天先生首款派對遊戲《摸魚》、讓你摸魚摸到快樂似神仙！,春天先生,625134,1450,https://www.zeczec.com/projects/mr-spring-lazy-fish,"魚腦粉期待許久、好玩又可愛的《摸魚》遊戲總算來了！考驗手速又考驗運氣，還有各種限定漁獲，邀請各位舊魚新知一起支持～,zeczec",33 天,2022/04/07 21:00 – 2022/05/21 02:00,2022/04/07 21:00:00,2022/05/21 02:00:00
Terncy 台灣小燕科技｜Apple HomeKit宙斯智慧門鎖｜掌握居家安全的第一道防線,Terncy Taiwan,963607,12999,https://www.zeczec.com/projects/Terncy-Zeus-Homekit,"🔔依訂單順序出貨｜越早贊助享優先安裝🔔 智慧家庭第一步，從智慧門鎖開始，真正通過Apple HomeKit認證的智慧門鎖，支援六種最實用解鎖功能，符合全家大小使用習慣。,zeczec",32 天,2022/04/07 21:00 – 2022/05/20 02:00,2022/04/07 21:00:00,2022/05/20 02:00:00
炎夏不烤車 日本最強 ☂ 車用降溫遮光幕 ↓ 降溫10°C，秒速安裝免拆卸，1秒拉遮,Shinshade.tw,451082,2880,https://www.zeczec.com/projects/Shinshade,"炎夏不用再烤車！日本銷破數萬支的遮光幕來台囉！無痛輕鬆安裝、車內降溫10°C、1萬次拉伸測試可重複使用、不擋後照鏡、寬儀錶板適用，採用高品質鋁金不易脆化，夜晚更可當投影幕，無論核心技術或外型設計...,zeczec",51 天,2022/04/07 21:00 – 2022/06/07 23:59,2022/04/07 21:00:00,2022/06/07 23:59:00
【久萌原 CamuFiber 卡姆多元優纖 】消化給力！飽足感 UP！順暢養顏！輕斷食好幫手，找回活力光彩！,職人保健,21020,1680,https://www.zeczec.com/projects/metanutri,"★ 唯一且足量添加卡姆果 Camu Camu 的多元優纖 ★ 含多種來源纖維，可獲得較大健康紅利 ★ 含綜合蔬果抽出物，幫助消化 ★ 不含任何刺激性風險成份,zeczec",19 天,2022/04/07 21:00 – 2022/05/07 02:00,2022/04/07 21:00:00,2022/05/07 02:00:00
【 美國 Vionic時尚丹寧健康矯正鞋｜時尚與舒適不再只能二選一！】,VIONIC中壢門市,3998,1999,https://www.zeczec.com/projects/vionic,"您還在煩惱時尚與健康舒適只能二選一嗎？結合頂級足部科技與時尚外型，繽紛時尚，穿搭有型，Vionic給您足部最時尚的舒適體驗！,zeczec",37 天,2022/04/07 21:00 – 2022/05/24 23:59,2022/04/07 21:00:00,2022/05/24 23:59:00
DIGIFAST DX3 全方位隨身攜帶M.2/SSD 外接座 ｜極速讀寫 M.2/SATA ，一機搞定!,DIGIFAST INC,190162,1649,https://www.zeczec.com/projects/digifast,"你也有這種困擾嗎? 換桌機、換筆電，備份重要資料時當掉超崩潰？ 各種外接盒組裝/拆卸超耗時？你的聲音，DIGIFAST聽到了， 史上最方便跨介面傳輸大師DX3 M.2/SSD外接座就此誕生!!!,zeczec",35 天,2022/04/07 20:00 – 2022/05/22 23:59,2022/04/07 20:00:00,2022/05/22 23:59:00
JTS 無線接收擴音喇叭 WA-1,寬升科技,0,42500,https://www.zeczec.com/projects/WA1,"便利與機動性，配合多變的應用情境最符合斜槓世代的不同使用需求，可適用於商務展演亦可居家休閒，感受當下最真實的聲音。,zeczec",39 天,2022/04/07 14:00 – 2022/05/26 23:59,2022/04/07 14:00:00,2022/05/26 23:59:00
最後倒數 ⏰【 sodastream｜DUO 氣泡水機 】2022 年全球獨家專利設計，快扣鋼瓶機種。享 2 年保固，免插電、一鍵輕鬆享用！,sodastream,1552730,5790,https://www.zeczec.com/projects/sodastream-duo,"質感旗艦新機，榮獲德國紅點設計獎以及 Good Design，輕鬆享用完美比例氣泡水！專用水瓶可放入洗碗機清洗，清潔又方便！,zeczec",3 天,2022/04/07 12:00 – 2022/04/20 23:59,2022/04/07 12:00:00,2022/04/20 23:59:00
SGS PRO 智慧迷你雕刻拋光筆｜無線便攜，雕刻、打磨、拋光的最佳助手！,Arrowmax Taiwan,495710,2280,https://www.zeczec.com/projects/sgs-pro-smart-mini-electric-engraving-polishing-pen,"Arrowmax 便攜式智能工具套組 系列中的第三款『SGS PRO』 - 作為一個小型無線智能工具  讓你在任何時候都能隨意雕刻、研磨、打磨和拋光任何物件。,zeczec",44 天,2022/04/07 12:00 – 2022/05/31 23:59,2022/04/07 12:00:00,2022/05/31 23:59:00
MUFU V30P 好神機｜前後雙錄機車行車記錄器｜內建違規偵測語音播報提醒功能幫你『省荷包』,MUFU,2261358,3890,https://www.zeczec.com/projects/mufu-v30p,"MUFU機車行車記錄器安裝使用很簡單，前後雙錄記錄影像，獨創違規點偵測語音播報，為國民省荷包，機車族必備好神機,zeczec",19 天,2022/04/07 11:00 – 2022/05/07 02:00,2022/04/07 11:00:00,2022/05/07 02:00:00
Roidmi 睿米 X300 無線吸拖吸塵器 | 業界頂級超強吸力、1 鍵自動清潔拖布、90 分鐘超長續航電力,Roidmi Taiwan 睿米,1405360,19980,https://www.zeczec.com/projects/roidmi-x300,"市場上唯一擁有1鍵自動清洗拖布、27000 pa業界頂級超強吸力、90分鐘超長效電池的最全能無線濕拖吸塵器,zeczec",30 天,2022/04/06 21:00 – 2022/05/17 23:59,2022/04/06 21:00:00,2022/05/17 23:59:00
expertgel樂捷│超薄型！極致吸濕【消臭鞋墊】│奈米礦物機能紗的科學消臭原理│比硅藻土吸濕,愛倍多國際股份有限公司,53721,348,https://www.zeczec.com/projects/expertgel_Ultra-slim_Extremely_Hygroscopic_Deodorizing_Insole,"超薄無感『僅1.2mm』│多方驗證『抗菌消臭』│調節溫度『冬暖夏涼』│遠紅外線『促進循環』│超透結構『乾爽舒適』│奈米導體『吸收熱氣』│微孔科技『快速吸濕導流多餘水份』,zeczec",20 天,2022/04/06 20:00 – 2022/05/08 00:00,2022/04/06 20:00:00,2022/05/08 00:00:00
【HANLIN-RK2 超薄雙模式聲控錄音卡】 16G超長192小時錄音/輕薄收納/隱匿無形/聲控錄音/數位降噪/ 斷電保存 ,漢電科技生活,505894,2088,https://www.zeczec.com/projects/hanlin-rk2-16g-192,"超薄4mm輕巧錄音卡/ 小身材 /大容量/ 超長16G-192小時錄音 ！,zeczec",29 天,2022/04/06 12:00 – 2022/05/16 23:59,2022/04/06 12:00:00,2022/05/16 23:59:00
日本專利製造┃雙面立體突起刺激穴道的腳底按摩襪，讓您只要走路就可以促進身體血液循環，跟畏寒說掰掰！,Fabridge,58700,5000,https://www.zeczec.com/projects/Toe-Socks,"襪子外側印有足部穴位圖！內側多達600多個立體突起墊刺激整個腳底！每天穿每天都能舒適的透過腳底刺激來釋放全身的壓力～,zeczec",44 天,2022/04/06 12:00 – 2022/05/31 23:59,2022/04/06 12:00:00,2022/05/31 23:59:00
【燕麥麵包技術手冊】出版計劃,蔡志祥,25521,320,https://www.zeczec.com/projects/oatBakingSkill,"用「科學」計算出來的燕麥麵包配方，以新創的「分水攪拌法」突破製作瓶頸，來自麵包工程師 10 年經驗累積，幫你點破製作燕麥麵包的竅門。,zeczec",33 天,2022/04/06 12:00 – 2022/05/21 01:59,2022/04/06 12:00:00,2022/05/21 01:59:00
 MerryIoT 氦幣挖礦機 Helium Hotspot Miner V1 熱點 優選台灣品牌終於開賣!讓各位久等了,EZcomm,64160,14090,https://www.zeczec.com/projects/merryiot-helium-hotspot-miner-v1,"台灣公司出品的Helium 熱點礦機,zeczec",13 天,2022/04/02 10:00 – 2022/04/30 23:59,2022/04/02 10:00:00,2022/04/30 23:59:00
PYUALAB璞室 | 日本專利抗菌技術【淨立方抗菌石】抗菌0危險、不傷身,璞室,57875,1799,https://www.zeczec.com/projects/pyualab-clearcub,"疫情肆虐導致消毒需求大增，但在使用酒精、次氯酸水等消毒水的同時也會帶來一些危害。因此璞室接觸到這款更安全且不傷身的抗菌水之後，希望可以帶來這個全新的抑菌概念，讓大家可以更輕鬆的應對後疫情生活!,zeczec",28 天,2022/04/01 14:00 – 2022/05/15 23:59,2022/04/01 14:00:00,2022/05/15 23:59:00
FXMOC交易員培訓計畫,李芸萱,75000,30000,https://www.zeczec.com/projects/fxmoc,"最完整最親民的投資交易課程，一條龍的專職職涯培訓,zeczec",13 天,2022/04/01 12:00 – 2022/05/01 12:00,2022/04/01 12:00:00,2022/05/01 12:00:00
今天開始背包不落地，防疫好安逸! 日本人氣熱銷，多功能『Smart Hook包袋隨身掛勾』,Neo Choice ,777543,398,https://www.zeczec.com/projects/smart-hook,"外出或旅旅中不再擔心背包要放在哪裡了！ 隨時保持背包行李的清潔！ 手機支架/包袋掛勾/鑰匙圈/登山扣 多個願望一次滿足!,zeczec",43 天,2022/03/31 21:00 – 2022/05/31 21:00,2022/03/31 21:00:00,2022/05/31 21:00:00
日本超人氣【 ISSENO ! 塑身蹦蹦墊】跟痛苦的健身說 莎喲娜拉~,Neo Choice ,1421205,3390,https://www.zeczec.com/projects/isseno,"只要彈跳10分鐘，就能幫助淋巴增強運作30倍，高效有氧運動。 在日本成為熱門話題的新型健身器材。 全家一起享受ISSENO!塑身蹦蹦墊帶來的快樂健身吧！,zeczec",44 天,2022/03/29 21:00 – 2022/05/31 23:59,2022/03/29 21:00:00,2022/05/31 23:59:00
極簡純粹 機能、收納、設計兼備 從城市到山裡  重新定義極簡收納設計  MARQUIS – STEALTH BOMBER EDITION,Moral Team,5270,2635,https://www.zeczec.com/projects/marquis-stealth-bomber-edition,"從疫情開始，我們有更多的時間待在家裡，Moral的設計師亦不例外，在家工作已變成一種常態。說到要設計一種新背包的時候，設計師反覆地問了自己很多個問題，重新反思Moral的理念，到底什麼才是大家最...,zeczec",13 天,2022/03/29 21:00 – 2022/04/30 23:59,2022/03/29 21:00:00,2022/04/30 23:59:00
 【Jolly｜虎年成家專案】 陪伴寶貝安心出遊的必備品，汽座+推車+搖籃 組合價只要 $9900!!,Jolly Factory,3181609,6680,https://www.zeczec.com/projects/jolly_tigerbaby,"寶貝一出生就需要用到的產品，從0歲用到12歲! 陪伴寶貝安心出遊，安心成長，在這萬物齊漲的年代，低至四折挺勇敢成為爸比媽咪的你/妳!!,zeczec",13 天,2022/03/29 12:00 – 2022/04/30 23:59,2022/03/29 12:00:00,2022/04/30 23:59:00
Oligo可調式螢幕座 ｜ 市面首創專為你「升」的美感座架 1mm微妙調整 ，輕鬆找到最佳辦公高度釋放你的桌面空間 ! ,3ONION,137902,1290,https://www.zeczec.com/projects/oligo,"《座架 × 收納 × 風格 》一座搞定 ! 從今天開始利用Oligo螢幕座來改善不良姿勢， 市面首創可配合桌椅高度將螢幕調整到使用者的最佳位置。,zeczec",5 天,2022/03/29 12:00 – 2022/04/22 23:59,2022/03/29 12:00:00,2022/04/22 23:59:00
【TAKENAKA | 帶著走的時尚便當盒】| SUKITTO系列 日本製可微波分隔保鮮盒 | 生活に溶け込み、日常を楽しむ,好拾物,3644,719,https://www.zeczec.com/projects/takenaka-sukitto,"挑戰2022最美便當盒！TAKENAKA 帶著走的時尚餐盒，日本製造原裝進口，可微波，可用洗碗機，可冷藏可冷凍，方便攜帶，一秒打造你的時尚三餐,zeczec",3 天,2022/03/25 12:00 – 2022/04/21 02:00,2022/03/25 12:00:00,2022/04/21 02:00:00
『露燈出上』華麗現身 | 可吹氣/磁吸/吊掛/折疊 創意LED 露營燈 夜燈,i創意,12698,850,https://www.zeczec.com/projects/igoshop-led,"華麗的身影，極俱創意，便攜及時尚的露營燈，讓您在夜晚有著明亮的聚光燈,zeczec",7 天,2022/03/24 21:00 – 2022/04/24 23:59,2022/03/24 21:00:00,2022/04/24 23:59:00
JY水滴杯架｜極簡環保愛生活｜1杯2杯3杯4杯，一提就OK！,玨對會縈,43451,609,https://www.zeczec.com/projects/jycupholder,"在你總是提著大包小包的時候，JY水滴杯架出現了！一環四用，使用較硬的環保材質，防止小朋友擠壓。主打防燙、隔熱，一次可提四杯飲品！希望讓媽媽、小朋友不再因為拿著熱飲燙傷！,zeczec",43 天,2022/03/24 20:00 – 2022/05/30 23:59,2022/03/24 20:00:00,2022/05/30 23:59:00
Chiline HitPods Boost 真無線藍牙音響 | 超還原立體聲音質／15 小時強效電力／IPX 5 全機防水，上山下海都有音樂陪伴,Chiline泫音,130692,1988,https://www.zeczec.com/projects/chiline-hitpods-boost,"內建強大的雙單體，搭配獨家聲學結構，以及強勁的音質晶片，無論居家辦公、旅行、野餐、露營，皆可隨身提供高音質的音樂表現！,zeczec",26 天,2022/03/24 11:00 – 2022/05/13 23:59,2022/03/24 11:00:00,2022/05/13 23:59:00
燕麥抹醬新體驗｜穀卡卡瑞士主廚研發｜可塗抹的燕麥脆片,Granola Gaga 穀卡卡工作室,31790,520,https://www.zeczec.com/projects/granolagaga-granolabutter,"第一個在台灣推出的燕麥抹醬！瑞士主廚兩年專業研發出成分單純、無過敏原、高營養、高膳食纖維的無負擔燕麥抹醬,zeczec",20 天,2022/03/24 11:00 – 2022/05/07 23:59,2022/03/24 11:00:00,2022/05/07 23:59:00
【 Decode 異次元後背包 】 自由解構空間、彈性分層收納​的創新超強機能包！,NIID,2544348,2660,https://www.zeczec.com/projects/decode,"NIID 年度新作「Decode 異次元後背包」，一款整合「幾何美學＋解構分層＋獨立存取＋系統收納＋超強機能 」任你玩轉 CP 值爆表的後背包！,zeczec", 41 小時,2022/03/23 21:00 – 2022/04/20 02:00,2022/03/23 21:00:00,2022/04/20 02:00:00
2022 閱讀島中央 週三讀書會｜現場與線上講座同步啟動,財團法人上善人文基金會中央書局,1394000,1200,https://www.zeczec.com/projects/cbs_wed_reading_s3,"老店新生，以創造風潮的讀書會，繼承中台灣的人文精神。從臺中中央書局出發到全臺的閱讀熱情,邀請你繼續參加這個盛大的閱讀計畫,由詹宏志、王浩威、曾成德、焦元溥、楊澤等5位講師組成黃金陣容,線上/現場...,zeczec",36 天,2022/03/23 21:00 – 2022/05/23 23:59,2022/03/23 21:00:00,2022/05/23 23:59:00
全台首發 📣 樂扣樂扣｜微笑騎士不鏽鋼隨行杯｜可提可掛不怕漏，莫蘭迪質感配色，讓你隨時享受喝飲料樂趣 !  ,台灣樂扣樂扣,1767477,878,https://www.zeczec.com/projects/locknlocktw,"專為台灣機車族打造，不鏽鋼提把設計，隨手提隨處掛輕鬆帶著走，同時擁有樂扣樂扣高品質密封設計，外出放入包包、機車車廂中不怕飲料溢出，又能地球環保盡一份心力。,zeczec",16 天,2022/03/23 12:00 – 2022/05/03 23:59,2022/03/23 12:00:00,2022/05/03 23:59:00
【TRAMONTINA | NYGMA】巴西製黑武士料理刀具組！遊走在刀鋒上的美味，一刀切斷/保留鮮味，羽量級刀具登場！,TRAMONTINA x noboda,132290,1590,https://www.zeczec.com/projects/tramontina-nygma,"巴西百年餐廚品牌TRAMONTINA匠心之作，獨家三度熱處理研磨而成，一把刀不到iPhone的一半重量，家的美味就讓NYGMA來實現。,zeczec",33 天,2022/03/22 21:00 – 2022/05/21 02:00,2022/03/22 21:00:00,2022/05/21 02:00:00
【 SAMSUNG｜Smart Monitor M7 】三星首款全方位智慧聯網螢幕，全新 43 吋放大你的視界，4K UHD 超高解析度！拓展螢幕的無線可能！,samsung,7047201,19900,https://www.zeczec.com/projects/SAMSUNG-M7,"全新 43吋 放大你的視界，4K UHD 超高解析度！內建YouTube、Netflix、Disney+ ，無需連接至筆電，影音娛樂、辦公處理、遊戲休閒切換自如！,zeczec",15 天,2022/03/22 12:00 – 2022/05/03 02:00,2022/03/22 12:00:00,2022/05/03 02:00:00
邏輯解謎｜密室逃脫桌遊 破解古老的秘密,Amodas,696430,1490,https://www.zeczec.com/projects/escapewelt-puzzle-tw,"我們把實境密室逃脫縮小了，德國進口全木製，運用你的邏輯破解密碼，得到最後的智慧！,zeczec",12 天,2022/03/22 12:00 – 2022/04/30 02:00,2022/03/22 12:00:00,2022/04/30 02:00:00
【源興牛飼育計畫】- 來募台灣人的和牛，自己和牛自己養 ! ,群眾自造,3769263,2990,https://www.zeczec.com/projects/Tw-Ag-Mou,"【源興牛】是李登輝前總統留給我們最棒的禮物，李前總統曾說過「要讓臺灣人吃到比日本還好吃的牛肉」。為了完成這個夢想、讓臺灣人能擁有屬於臺灣人的優質牛肉，源興牛飼育計畫需要每一個你的支持！,zeczec",23 天,2022/03/22 11:00 – 2022/05/10 23:59,2022/03/22 11:00:00,2022/05/10 23:59:00
Offtrecord Ent. Present Milk Tsang 首張個人專輯 黑膠唱片發行計劃,Offtrecord Ent.,42720,1050,https://www.zeczec.com/projects/milk-tsang-album,"Offtrecord Ent. 為在地另類音樂人提供一個發行音樂的平台，並給予他們繼續發展的機會。這次募款計劃是廠牌為旗下音樂人Milk Tsang的首張專輯《遠東色彩》，募資發行實體黑膠唱片。,zeczec",5 天,2022/03/22 00:00 – 2022/04/22 23:59,2022/03/22 00:00:00,2022/04/22 23:59:00
"▎王與后 ""瘦臉魔鏡"" 8.0【大頭王鏡界 & QQ萌大女王】",Mr.Banboo台灣手工眼鏡,4960,1980,https://www.zeczec.com/projects/MrBanboo-MrJKQ,"早鳥贈送: UV420濾藍光鏡片 / QQ萌大女王&大頭王鏡界 / 老闆 別再跟我說抱歉，找不到我的眼鏡可以戴。,zeczec",13 天,2022/03/21 21:00 – 2022/04/30 23:59,2022/03/21 21:00:00,2022/04/30 23:59:00
