商品名稱,品牌名稱,累積金額,商品單價,商品網址,商品規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束
GG褲 海洋系｜來自大海的淬鍊，獨家使用來自大海的SEAWOOL® 海毛紗，兼具舒適/輕薄/快乾/恆溫涼感/永久除臭 功能,URBAN CREW,1007060.0,980.0,https://www.zeczec.com/projects/GGCOOLSEA,"熱賣超過200萬的【GG褲(森林系)】推出全新海洋系！太空ionic+太空銀纖維 結合 SEAWOOL® 海毛紗，一次擁有 遠紅外線∕涼感舒適∕吸濕排汗∕99% 抗菌防臭∕3D立體囊袋∕防磨腰頭...,zeczec",18 天,2022/11/01 11:30 – 2022/12/15 23:59,2022-11-01 11:30:00,2022-12-15 23:59:00
世界第二輕大傘『極度輕高爾夫』271g輕盈登場｜超抗風、防潑水｜雨傘王首創終身免費維修！,雨傘王,937171.0,799.0,https://www.zeczec.com/projects/ultra_lightweight,"親子外出、開車族、高爾夫愛好者、三五好友，想拿出可遮擋所有人的直立大傘， 卻因為重量﹑花色、功能，寧願撐折傘自己淋雨也不願選擇長傘？就讓『極度輕高爾夫』打破刻板印象！ ,zeczec",17 天,2022/11/04 15:00 – 2022/12/15 23:59,2022-11-04 15:00:00,2022-12-15 23:59:00
e+自動關超值版｜千萬口碑好評再回歸，最聰明的自動關火裝置，全面防堵爐火意外，100% 守護家中安全,網捷股份有限公司,890448.0,1980.0,https://www.zeczec.com/projects/yztek-2022,"曾創下千萬佳績的e+自動關，獲得台灣超過 10 萬口家庭安裝好評！今年，更榮獲 2022 法國發明展第一名！全新e+自動關超值版承襲前幾代優點，且體積更輕巧、更時尚繽紛更高CP，90% 爐具皆可裝。,zeczec",25 天,2022/11/22 12:00 – 2022/12/23 02:00,2022-11-22 12:00:00,2022-12-23 02:00:00
【早鳥53折 截止倒數】運動專屬 無重力內著｜獨立囊袋・抑菌除臭・超強延展｜純粹舒適的新體驗,Apartment.b 男子公寓,867964.0,1499.0,https://www.zeczec.com/projects/apartmentb-underwear,"無重力內著，給您無重力般的舒適體驗｜使用Tactel Nylon6.6 超細纖維｜美國 Sciessent 銅銀離子 除臭技術｜創造時尚與機能兼具的新時代內著,zeczec",54 天,2022/11/10 11:00 – 2023/01/20 23:59,2022-11-10 11:00:00,2023-01-20 23:59:00
PasswordPocket 密碼記憶神器｜解放大腦！給你最安全、方便的登入新選擇！,Atlancube ,862470.0,980.0,https://www.zeczec.com/projects/passwordpocket,"密碼不再忘！重要資訊不再擔心被窺看！一切掌握在手中！Atlancube 團隊致力於將最新科技帶入生活，創造更安全、迅速、方便的世界。,zeczec",18 天,2022/11/14 15:00 – 2022/12/16 23:59,2022-11-14 15:00:00,2022-12-16 23:59:00
【太空暖被｜FairyNova】3 分即暖，4 層蓄熱構造の抗菌薄冬被！,KK select,832310.0,3990.0,https://www.zeczec.com/projects/fairynova,"來自日本的「太空暖被」選用與太空裝相同等級的材質打造，3分鐘即可達最適合人體的睡眠溫度，可機洗、高抗菌、羽量級薄冬被誕生！,zeczec",23 天,2022/11/22 12:00 – 2022/12/21 02:00,2022-11-22 12:00:00,2022-12-21 02:00:00
YOSHIDA 日本吉田職人銼刀｜指尖的極致俐落潔淨，燕三条百年工藝｜同場加開：毛小孩寵物專用銼刀,Single Step,816200.0,1080.0,https://www.zeczec.com/projects/yoshida-japan,"「吉田銼刀製作所」創立於1900年，位於日本金屬工藝之都燕三条。一百二十年來僅專注以純手工製作精良銼刀。容易斷裂不易修剪的脆弱指甲也能使用，輕輕劃過就能保持潔淨俐落。特別開賣台灣獨家霧銀限量款!,zeczec",7 天,2022/11/08 20:00 – 2022/12/05 23:59,2022-11-08 20:00:00,2022-12-05 23:59:00
三年煉一傘！台灣研發挑戰世界最細的晴雨傘！一把摺疊傘最理想的樣子就是【極工傘】,米塔培拉精品傘業有限公司,800076.0,968.0,https://www.zeczec.com/projects/metabrella,"關於「一把摺疊傘最理想的樣子」。透過骨架機構的迴避設計，達到收折後是世界第一細的特徵，同時保有晴雨傘最易被犧牲掉的傘面尺寸，並維持了雨傘應有的強韌程度。預期將可賦予我們的產品-極工傘真正的輕巧易...,zeczec",29 天,2022/11/01 07:00 – 2022/12/27 23:59,2022-11-01 07:00:00,2022-12-27 23:59:00
Go 1 Pro 機器狗 | 未來就是現在！真正的陪伴型機器人來了,Unitree Taiwan,772000.0,96500.0,https://www.zeczec.com/projects/unitreego1pro,"能跑、能滾、能玩、能載！全球首款消費級陪伴四足機器人 擁有最新黑科技原來不用上百萬天價，與你一同探索未來的無限可能！,zeczec",24 天,2022/11/01 12:00 – 2022/12/22 02:00,2022-11-01 12:00:00,2022-12-22 02:00:00
【台灣製】磁吸式自帶線行動電源10000mAh➤蘋果全系列不卡鏡頭，相容MagSafe，雙向快充，自帶Lightning及Type-C一次滿足！,POLYBATT,735368.0,1248.0,https://www.zeczec.com/projects/POLYBATT_CAT,"15W無線充電＋22W有線！四用型充電搞定所有機型！可充1-2次，帶著來自貓的祝福迎接2023年,zeczec",36 天,2022/11/01 20:00 – 2023/01/03 08:00,2022-11-01 20:00:00,2023-01-03 08:00:00
【 iSwift M｜便攜隱形折疊桌】進擊輕薄創造你的無限空間，隨時隨地辦公不設限。,iSwift Taiwan,719520.0,1540.0,https://www.zeczec.com/projects/iswift-m,"0.6公分超薄瘦設計，500克減重升級；一秒展開方便收納攜帶，M型支撐超穩結構；環保羊毛毯材質，室內戶外辦公休閒多功能使用；多色個性設計，3種多元尺寸隨心選。,zeczec",9 天,2022/11/10 12:00 – 2022/12/07 02:00,2022-11-10 12:00:00,2022-12-07 02:00:00
《台灣機車百態｜The Scooters of Taiwan 》英國插畫家 Tom Parker 筆下最逗趣的機車街景！,Tom Parker X 海吉工作室,653869.0,1350.0,https://www.zeczec.com/projects/taiwan-scooters-100,"去年進行《台北地圖》集資時，我把這些可愛的騎士們做成《台灣味》貼紙，沒想到收到大家熱烈迴響，於是開啟了這個《台灣機車百態》的計畫，完成了更多可愛小車車！,zeczec",22 天,2022/11/02 21:00 – 2022/12/20 23:59,2022-11-02 21:00:00,2022-12-20 23:59:00
【miffy米飛 超萌兔公仔】2023兔年最有創意米飛之旅，與你一起兔年大吃四方 流動好好運！,我適文創,650152.0,1780.0,https://www.zeczec.com/projects/miffy112,"來自荷蘭的國際級萌兔—miffy米飛，全球首次與台灣創意合體，展開一場全所未有的可愛旅程！台灣經典小吃x米飛盒玩公仔，流體米飛創意公仔，一起玩兔合體創造新年度的跳躍奔放！,zeczec",7 天,2022/11/07 12:00 – 2022/12/05 23:59,2022-11-07 12:00:00,2022-12-05 23:59:00
Tent Acme 極.美.秒換面紙盒〖皮革低碳版〗| 瞬間成為美好的存在! ,TaG 創夏設計,588966.0,1155.0,https://www.zeczec.com/projects/tent-2-0,"用極致的視覺藝術定義面紙盒，簡約弧線百搭沒有侷限。升級為低碳皮革面料的TentAcme 面紙盒以磁吸3秒更換的超直覺設計達到免組裝，即可秒速裝填與更換面紙。 優美弧度的簡約外型，為你生活提升質感...,zeczec",32 天,2022/11/01 12:00 – 2022/12/30 02:00,2022-11-01 12:00:00,2022-12-30 02:00:00
【HuRuRu】咕嚕嚕 無線馬達寵物飲水機｜解決清潔難題，給你無線可能！,防御工事｜T-FENCE,534110.0,980.0,https://www.zeczec.com/projects/hururu-pet-water-fountain,"換了寵物飲水機後，卻讓你多了更多難題嗎？HuRuRu給你全新選擇！磁感應供電原理，插頭免插拔好拿取！極簡結構無雜線，內部簡單好清洗！圖書館等級靜音， 45分貝好安靜！搭配小樹枝配件，一機兩用好划算！,zeczec",64 天,2022/11/22 11:30 – 2023/01/31 11:30,2022-11-22 11:30:00,2023-01-31 11:30:00
#全球獨創技術 DarMo® 達摩經絡儀 | 疏通經絡促進循環幫助睡眠、輕鬆減壓,DarMo® 達摩經絡儀,519273.0,16800.0,https://www.zeczec.com/projects/DarMo,"整合３大領域「中西醫、自然醫學」與 王唯工教授 建立的氣血共振理論基礎，開發出「減壓舒眠經絡儀」，透過微電流電導場共振技術，與人體經絡同步共振，激發人體自癒潛能， 讓我們都能往 更平衡 的狀態前進,zeczec",37 天,2022/11/22 10:30 – 2023/01/03 23:59,2022-11-22 10:30:00,2023-01-03 23:59:00
超簡單種植法！◣ nX20 植物營養液 ◥ 為植栽補充各種 關鍵營養，也有綠手指入門組～,1% nutrition,508010.0,980.0,https://www.zeczec.com/projects/nX20-1-percent-nutrition,"3000 名 園藝植栽專家使用經驗，辦公室、陽台、客廳室內植栽「天然萃取 × 新手老手」一起無痛轉職綠手指～,zeczec",16 天,2022/11/08 11:50 – 2022/12/14 02:00,2022-11-08 11:50:00,2022-12-14 02:00:00
